"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"161","FWS31",37,0.5,3,1560,7.4,8615.01,5.56,3.39,4.77364750701592,4.70749352913208,5.29804702904507,31.5,"0.25","0.75","0"
"162","FWS31",19,3.5,6,1610,6.89,7644.97,6.01,3.82,5.81211151058372,5.37272978189264,6.5550945695517,28.7,"0.25","0.75","0"
"163","FWS31",37,3.5,9,1360,7.39,8720.21,5.47,3.48,4.68165723695277,4.98268271302364,7.16643014344754,153.2,"0.25","0.75","0"
"164","FWS31",55,2,3,1700,7.15,12384.08,5.87,3.59,0,0,3.53794495929149,6.7,"0.25","0.75","0"
"165","FWS31",37,2,6,1495,7.45,8192.63,5.59,3.23,5.1172083018114,5.1172083018114,5.38374537073358,102.9,"0.25","0.75","0"
"166","FWS31",19,2,9,1630,7.08,11272.47,5.74,3.57,6.1003019487466,5.38676819816587,6.11720531766578,26.7,"0.25","0.75","0"
"167","FWS31",19,3.5,6,1500,6.84,7570.97,5.96,3.76,5.96416578227057,5.86153500823756,5.62787871765175,34.4,"0.25","0.75","0"
"168","FWS31",19,2,3,1740,7.01,12354.17,5.61,3.51,5.2387760078851,5.11384646042253,6.4785666398777,9.4,"0.25","0.75","0"
"169","FWS31",37,0.5,9,1640,7.48,7113.24,5.09,3.12,3.2332500095411,2.98272338766855,5.68877654449078,74.7,"0.25","0.75","0"
"170","FWS31",19,0.5,6,1565,7.45,10620.07,5.61,3.38,5.96416578227057,5.4154758365443,6.38735440497546,9.3,"0.25","0.75","0"
"171","FWS31",37,2,6,1525,7.43,8118.62,5.56,3.48,5.27411395558201,5.20362025660415,7.29804486446548,93.4,"0.25","0.75","0"
"172","FWS31",19,2,9,1470,7.06,11343.37,5.72,3.52,5.4905217130278,4.92531724936073,6.19119969933215,23.3,"0.25","0.75","0"
"173","FWS31",19,3.5,6,1470,6.87,8148.22,6.02,3.79,6.67486123255482,6.36735610741846,6.31906460668316,33.2,"0.25","0.75","0"
"174","FWS31",37,3.5,3,1695,6.97,11725.99,6.05,3.94,7.66379513163807,7.3769417753791,4.83948433234293,63.6,"0.25","0.75","0"
"175","FWS31",55,3.5,6,1985,7.13,8251.84,6.05,3.72,0,0,2.30319605742049,18.5,"0.25","0.75","0"
"176","FWS31",19,3.5,6,1550,6.84,14091.79,6.06,3.85,5.99140374555664,5.86153500823756,6.51454788547203,32,"0.25","0.75","0"
"177","FWS31",37,2,6,1550,7.38,8710.68,5.63,3.5,5.10030505132897,5.10030505132897,5.81756603058589,101.4,"0.25","0.75","0"
"178","FWS31",37,0.5,3,1620,7.39,9033.8,5.6,3.44,5.76446083457237,5.7263326611386,5.92220679692971,37.6,"0.25","0.75","0"
"179","FWS31",55,2,9,1345,7.43,12595.86,5.67,3.41,0,0,0,17.4,"0.25","0.75","0"
"180","FWS31",55,3.5,6,1780,7.17,8725.48,6.05,3.77,0,0,2.47856649559384,25.3,"0.25","0.75","0"
"181","FWS31",37,3.5,3,1560,6.94,13760.09,5.97,3.95,8.01961471984258,8.01961471984258,5.29804702904507,70.4,"0.25","0.75","0"
"182","FWS31",19,2,9,1685,7.08,10468.98,5.7,3.56,6.11720531766578,5.41714107177727,7.32180550455794,29.3,"0.25","0.75","0"
"183","FWS31",37,0.5,9,1045,7.66,7704.04,5.41,3.29,5.21448885262996,4.5678611976277,5.32180755389303,67.2,"0.25","0.75","0"
"184","FWS31",19,0.5,6,1535,7.47,10034.61,5.54,3.33,5.21058869912403,4.1271372071915,5.04375905366415,7.4,"0.25","0.75","0"
"185","FWS31",19,2,3,1650,6.98,10798.68,5.75,3.57,5.0491831226042,5.0491831226042,6.38374375532547,10.2,"0.25","0.75","0"
"186","FWS31",55,2,9,1765,7.43,13115.77,5.65,3.42,0,0,2.30319605742049,27.9,"0.25","0.75","0"
